Actual_Converted,Conversion_Probability,Lead_Score,Priority_Tier
1,0.9994,99.9,Hot
1,0.9993,99.9,Hot
1,0.9988,99.9,Hot
1,0.9994,99.9,Hot
1,0.999,99.9,Hot
1,0.9988,99.9,Hot
1,0.9986,99.9,Hot
1,0.9992,99.9,Hot
1,0.9987,99.9,Hot
1,0.9985,99.9,Hot
1,0.9986,99.9,Hot
1,0.9979,99.8,Hot
1,0.9978,99.8,Hot
1,0.9982,99.8,Hot
1,0.9983,99.8,Hot
1,0.9983,99.8,Hot
1,0.998,99.8,Hot
1,0.9975,99.8,Hot
1,0.9982,99.8,Hot
1,0.9976,99.8,Hot
1,0.9983,99.8,Hot
0,0.9976,99.8,Hot
1,0.9974,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9974,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.997,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9965,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9974,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.997,99.7,Hot
1,0.9972,99.7,Hot
1,0.997,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
